loan_amnt,emp_length,home_ownership,annual_inc,addr_state
4000,2 years,RENT,25000,CO
10500,10+ years,MORTGAGE,65000,TX
5500,10+ years,OWN,59000,PA
7350,1 year,RENT,33000,CA
10000,10+ years,RENT,39000,MO
12000,10+ years,RENT,42000,OH
5000,5 years,MORTGAGE,38004,MI
8000,3 years,OWN,31000,OR
4500,10+ years,MORTGAGE,50700,NC
18000,1 year,OWN,75000,LA
12300,2 years,MORTGAGE,30000,MT
12000,6 years,RENT,40000,GA
10000,10+ years,MORTGAGE,50000,CA
6000,7 years,MORTGAGE,80000,WI
12000,4 years,RENT,40000,MD
12000,7 years,RENT,80000,CA
7000,2 years,RENT,75000,CA
35000,8 years,MORTGAGE,85000,IL
1400,1 year,RENT,28800,FL
16000,10+ years,RENT,35000,NC
3200,9 years,RENT,61200,CA
8000,1 year,RENT,40000,CA
11875,< 1 year,RENT,25920,CA
5000,9 years,MORTGAGE,54000,NJ
1800,10+ years,RENT,18000,MI
35000,5 years,RENT,85000,IL
18000,5 years,RENT,78000,NY
14000,10+ years,OWN,45600,WV
5000,2 years,RENT,70000,TX
8000,4 years,RENT,70000,IL
10000,9 years,MORTGAGE,80000,MA
10000,5 years,RENT,50000,NJ
12000,10+ years,MORTGAGE,35000,CO
23200,3 years,MORTGAGE,65000,MI
18000,1 year,MORTGAGE,84000,CT
4800,10+ years,MORTGAGE,75000,WV
7300,6 years,RENT,35000,VA
10400,6 years,RENT,40000,FL
6600,1 year,MORTGAGE,100000,FL
12000,7 years,OWN,40000,NJ
13250,10+ years,RENT,52000,NY
12000,3 years,RENT,92500,CA
25000,9 years,RENT,61000,CA
6000,10+ years,RENT,36000,HI
12000,10+ years,MORTGAGE,68000,CA
14400,1 year,RENT,80000,CA
10000,10+ years,RENT,43000,NY
8000,1 year,RENT,150000,NY
8000,5 years,RENT,50000,NV
30000,3 years,RENT,70000,TX
18000,6 years,OWN,40000,CA
13250,2 years,OWN,35000,PA
14000,6 years,RENT,80000,CA
20000,10+ years,OWN,59000,AK
10000,10+ years,RENT,40000,NY
35000,5 years,RENT,85000,NJ
4000,1 year,RENT,55000,OR
13000,6 years,RENT,110000,CA
28000,5 years,RENT,100000,WI
10000,3 years,RENT,62000,MA
20000,< 1 year,RENT,45000,GA
18000,5 years,RENT,110000,FL
9000,3 years,RENT,60000,CA
25000,10+ years,RENT,61500,NY
10000,3 years,RENT,33000,NY
4200,3 years,RENT,61000,NJ
20000,10+ years,OWN,78216,CA
18000,1 year,MORTGAGE,62000,VA
24000,2 years,RENT,50964,GA
4475,3 years,RENT,43680,CO
20000,2 years,MORTGAGE,56000,CA
12000,5 years,RENT,50700,NJ
18000,n/a,MORTGAGE,60000,AL
5000,2 years,RENT,30000,SC
3000,5 years,RENT,50000,VA
25000,10+ years,RENT,75000,WY
18000,3 years,RENT,90000,NY
12000,10+ years,RENT,55000,RI
20000,10+ years,MORTGAGE,50000,MA
10000,3 years,RENT,84000,CA
15000,6 years,OWN,155000,GA
12000,< 1 year,MORTGAGE,62000,MD
20000,2 years,MORTGAGE,175000,TX
6300,2 years,RENT,30000,NY
20000,7 years,RENT,50000,IL
35000,8 years,MORTGAGE,208000,MD
8250,2 years,MORTGAGE,35004,NY
20000,7 years,OWN,85000,LA
10000,5 years,RENT,32000,FL
24000,10+ years,MORTGAGE,116400,FL
14400,9 years,MORTGAGE,40000,IL
6000,7 years,RENT,34000,MD
22000,5 years,MORTGAGE,73000,IL
12000,10+ years,RENT,57200,MA
16000,< 1 year,MORTGAGE,114000,MO
10000,10+ years,MORTGAGE,90000,NY
16000,8 years,MORTGAGE,54000,NC
10000,2 years,RENT,35000,KY
3500,7 years,RENT,56000,FL
9600,5 years,RENT,35000,NC
9875,10+ years,MORTGAGE,40000,NY
21500,2 years,OWN,59000,MO
4800,6 years,RENT,48000,FL
7800,10+ years,OWN,85000,NV
20000,10+ years,MORTGAGE,70000,TX
9750,4 years,RENT,35000,HI
18000,6 years,MORTGAGE,91000,VA
5000,9 years,MORTGAGE,30000,CA
9000,4 years,RENT,45000,NY
7200,1 year,RENT,55000,FL
3000,3 years,RENT,53004,FL
25000,10+ years,RENT,60000,CA
25000,8 years,OWN,82000,CA
10000,10+ years,RENT,53000,CA
8875,5 years,MORTGAGE,35360,PA
15550,10+ years,RENT,54000,FL
17000,8 years,RENT,65000,NJ
7500,5 years,RENT,65000,CA
8875,6 years,OWN,28800,CA
4500,1 year,RENT,42000,OH
5800,3 years,RENT,36000,TX
10000,2 years,RENT,40000,NJ
10000,4 years,RENT,50000,GA
14000,1 year,RENT,52000,CA
25000,3 years,MORTGAGE,85000,VA
12000,3 years,RENT,32000,OR
24000,6 years,OWN,75000,FL
14000,< 1 year,RENT,80000,NY
12000,7 years,MORTGAGE,40246,AZ
15000,3 years,OWN,30000,NJ
8050,1 year,RENT,36000,WA
5600,6 years,RENT,60000,CA
7500,3 years,RENT,31200,CA
7000,10+ years,RENT,90000,MD
5400,4 years,RENT,40000,MO
16000,1 year,RENT,90000,PA
35000,9 years,MORTGAGE,105000,TX
6000,< 1 year,RENT,30084,KY
4125,10+ years,MORTGAGE,36000,MI
9800,4 years,RENT,67000,CA
15700,10+ years,MORTGAGE,63000,FL
5000,1 year,RENT,276000,FL
9900,6 years,RENT,26400,OH
4000,n/a,RENT,24000,FL
15000,3 years,MORTGAGE,68400,FL
6250,1 year,RENT,29120,WI
6400,< 1 year,RENT,29120,WI
8850,10+ years,MORTGAGE,89122,NV
12000,4 years,MORTGAGE,54000,NJ
15000,5 years,MORTGAGE,30000,AR
6500,4 years,MORTGAGE,30000,WA
8000,10+ years,RENT,50000,CT
30000,6 years,MORTGAGE,92000,CT
15000,10+ years,MORTGAGE,100500,NJ
10200,3 years,RENT,40000,CA
9000,5 years,MORTGAGE,47000,FL
6500,3 years,MORTGAGE,68000,FL
23000,8 years,MORTGAGE,95000,MI
2000,4 years,RENT,39600,CA
8000,3 years,OWN,30000,CA
8875,1 year,RENT,30000,KY
1500,< 1 year,RENT,17000,OH
8000,3 years,RENT,42000,PA
20000,10+ years,RENT,75000,CA
6500,4 years,RENT,42000,MA
9600,3 years,MORTGAGE,27000,NY
25975,10+ years,MORTGAGE,130000,PA
10000,5 years,MORTGAGE,46000,WA
15000,10+ years,MORTGAGE,80000,NC
9000,3 years,MORTGAGE,45000,CA
10000,2 years,RENT,72500,NY
1000,n/a,RENT,18408,NJ
14000,2 years,RENT,30000,TX
8500,9 years,RENT,50000,PA
15000,9 years,RENT,75000,FL
4500,5 years,MORTGAGE,65000,NY
3000,10+ years,MORTGAGE,65000,TX
10000,4 years,MORTGAGE,120000,NJ
21250,5 years,MORTGAGE,42500,MO
33425,2 years,MORTGAGE,75000,NY
35000,8 years,RENT,195000,WA
7200,4 years,RENT,54990,TX
18000,< 1 year,RENT,40000,AZ
23000,2 years,MORTGAGE,137000,TX
20000,10+ years,RENT,60000,CA
6000,3 years,RENT,30120,NY
7000,1 year,RENT,46000,VA
21000,8 years,MORTGAGE,135000,OH
8250,n/a,MORTGAGE,31500,MD
13000,10+ years,RENT,65000,CA
18000,2 years,MORTGAGE,78000,TX
7200,5 years,MORTGAGE,60000,AZ
16500,10+ years,RENT,48000,UT
8125,< 1 year,RENT,25000,IL
18800,3 years,MORTGAGE,82000,CA
26800,10+ years,MORTGAGE,82000,CA
19200,5 years,MORTGAGE,42000,OK
12875,3 years,RENT,27600,CA
4000,5 years,MORTGAGE,38000,OH
4000,4 years,RENT,35000,CA
12000,10+ years,OWN,33000,CA
2625,10+ years,MORTGAGE,52800,NV
18000,10+ years,MORTGAGE,40900,AR
7000,10+ years,RENT,73882,PA
11300,7 years,MORTGAGE,36000,FL
4000,10+ years,MORTGAGE,130000,CA
8000,10+ years,MORTGAGE,57200,SC
14400,5 years,RENT,51871,RI
4375,2 years,OWN,15000,CA
4100,9 years,MORTGAGE,70197,LA
6000,7 years,RENT,47000,OH
4200,9 years,RENT,43000,AZ
4000,6 years,MORTGAGE,120000,NC
3000,10+ years,MORTGAGE,86004,NJ
5400,10+ years,MORTGAGE,75000,TX
15000,1 year,RENT,110000,TX
20000,3 years,MORTGAGE,80000,AZ
10400,4 years,RENT,44000,CA
4500,7 years,MORTGAGE,51600,WA
11500,< 1 year,RENT,38500,DC
10000,4 years,RENT,75000,FL
18225,10+ years,MORTGAGE,37320,GA
3600,10+ years,RENT,55000,NY
18500,2 years,RENT,100000,CA
16800,10+ years,MORTGAGE,70000,CO
10000,8 years,RENT,68000,MT
15000,10+ years,MORTGAGE,66000,CA
8000,8 years,RENT,85000,NJ
25000,1 year,RENT,83004,CA
16000,1 year,RENT,51000,AZ
8000,2 years,RENT,55000,CA
7200,10+ years,MORTGAGE,47000,VA
12000,4 years,RENT,86000,CA
2200,10+ years,OWN,48000,TX
20000,10+ years,RENT,49000,NY
28000,4 years,MORTGAGE,85000,PA
6000,2 years,MORTGAGE,50000,AR
25000,10+ years,RENT,105000,NY
8000,1 year,RENT,51204,NY
14400,2 years,RENT,42996,NY
20000,5 years,RENT,60000,CA
25000,10+ years,MORTGAGE,85000,MD
14050,3 years,MORTGAGE,120000,NY
6000,10+ years,OWN,62691,AL
16100,< 1 year,MORTGAGE,36000,PA
35000,3 years,OWN,85000,FL
10525,4 years,RENT,49668,CA
7200,2 years,RENT,30000,NJ
18500,10+ years,OWN,40000,HI
12000,10+ years,MORTGAGE,40000,AR
12000,5 years,MORTGAGE,100000,IL
3000,2 years,RENT,56312,VA
9500,10+ years,RENT,54011,CA
19775,2 years,RENT,49110.32,CA
12000,< 1 year,RENT,75000,HI
28000,7 years,MORTGAGE,95000,WA
30000,2 years,RENT,80000,WI
16000,9 years,MORTGAGE,55000,CA
14500,8 years,RENT,90000,MD
11700,3 years,RENT,68500,VA
4150,4 years,RENT,100000,CA
15000,10+ years,MORTGAGE,72000,AL
24000,6 years,RENT,70000,CA
21250,5 years,RENT,37000,NJ
10000,10+ years,OWN,75000,AR
25000,< 1 year,MORTGAGE,75000,CA
4000,6 years,RENT,39000,NV
15000,< 1 year,RENT,60000,NY
20000,3 years,RENT,68000,FL
15000,3 years,MORTGAGE,110000,UT
3600,3 years,RENT,40000,NY
6000,5 years,OWN,31000,CA
15000,10+ years,RENT,60000,NY
12000,3 years,RENT,43000,CA
12375,6 years,RENT,42000,MD
4000,6 years,RENT,30000,FL
13000,10+ years,MORTGAGE,50000,FL
5000,1 year,MORTGAGE,39396,GA
5000,7 years,OWN,98000,CA
26000,10+ years,RENT,62500,OK
15000,8 years,MORTGAGE,95000,WI
4000,10+ years,RENT,45000,PA
8000,10+ years,RENT,32400,CA
1700,n/a,MORTGAGE,37800,CO
16000,10+ years,RENT,50000,PA
20000,10+ years,MORTGAGE,114996,NY
12000,6 years,RENT,54400,WA
7000,7 years,MORTGAGE,72800,MD
8000,1 year,RENT,42500,GA
13000,10+ years,RENT,61000,NY
13000,10+ years,RENT,28000,NC
20000,2 years,OWN,120000,MN
18000,8 years,MORTGAGE,96000,CT
10000,3 years,RENT,83200,WA
22250,8 years,RENT,45000,MO
24000,5 years,RENT,68809,FL
11200,3 years,RENT,75000,CA
7000,3 years,RENT,52000,NY
8000,6 years,RENT,57600,CA
22500,4 years,RENT,48500,CA
12000,2 years,RENT,95000,GA
22000,< 1 year,RENT,58000,IL
6200,10+ years,MORTGAGE,24000,AK
15900,9 years,MORTGAGE,58000,VA
5000,n/a,MORTGAGE,70000,CA
16000,3 years,MORTGAGE,104000,MA
5000,4 years,RENT,35000,CA
3150,5 years,RENT,53000,PA
12000,2 years,RENT,28000,CA
28000,4 years,MORTGAGE,118000,IL
5000,< 1 year,RENT,40000,FL
3000,n/a,MORTGAGE,42000,MN
3000,10+ years,MORTGAGE,65000,WA
8400,2 years,RENT,25000,CA
7000,10+ years,MORTGAGE,36000,CA
18550,2 years,RENT,45000,IL
2000,1 year,MORTGAGE,231252,GA
12000,3 years,RENT,65000,NY
8575,n/a,MORTGAGE,32000,FL
28000,8 years,MORTGAGE,84996,GA
10000,6 years,RENT,66000,OR
25000,2 years,MORTGAGE,92000,LA
8000,10+ years,RENT,70000,CA
16000,10+ years,MORTGAGE,49000,OH
25000,8 years,MORTGAGE,76896,FL
2000,10+ years,RENT,24000,IL
16800,2 years,RENT,60000,TX
8000,3 years,MORTGAGE,120000,CA
12000,9 years,MORTGAGE,57000,CT
11000,4 years,MORTGAGE,80000,AZ
5000,6 years,MORTGAGE,85000,WA
18000,10+ years,OWN,140000,TX
10000,6 years,OWN,36000,CA
5000,< 1 year,RENT,70000,OH
10000,4 years,RENT,51360,NY
25000,4 years,RENT,163000,CA
2400,4 years,MORTGAGE,59393,OR
3000,4 years,MORTGAGE,65000,FL
7700,3 years,RENT,29772.96,TX
2400,< 1 year,OWN,12996,TX
18500,10+ years,MORTGAGE,68000,CT
5000,1 year,OWN,44475,CA
14000,10+ years,MORTGAGE,88000,TX
24500,4 years,RENT,85000,NJ
2400,3 years,MORTGAGE,36000,GA
1800,7 years,RENT,117000,CA
22200,2 years,RENT,160000,CA
21400,3 years,RENT,80000,FL
13000,10+ years,RENT,28000,MN
8000,5 years,RENT,48000,CA
3600,10+ years,MORTGAGE,60000,MI
12375,5 years,RENT,40000,FL
9400,2 years,RENT,45500,GA
9600,6 years,MORTGAGE,156000,FL
17000,1 year,RENT,40000,PA
25000,10+ years,MORTGAGE,96000,IL
16950,10+ years,MORTGAGE,50000,NC
30000,10+ years,MORTGAGE,80000,TX
10800,6 years,MORTGAGE,110000,NV
6000,10+ years,RENT,59400,CA
35000,10+ years,MORTGAGE,106000,CO
10000,7 years,RENT,36000,NY
15000,4 years,RENT,51000,NY
5000,2 years,RENT,25000,IL
3000,5 years,RENT,35000,CA
7100,1 year,RENT,33000,IL
12000,10+ years,MORTGAGE,93000,CA
22400,6 years,RENT,85000,NY
5825,8 years,RENT,50000,CA
22250,2 years,RENT,41000,NY
18000,2 years,RENT,50000,CA
6000,4 years,RENT,30000,WI
7650,5 years,RENT,57000,CA
21000,2 years,RENT,110000,PA
20675,7 years,RENT,50132,CA
13200,6 years,MORTGAGE,62500,NC
12000,< 1 year,RENT,60000,LA
20000,6 years,RENT,130000,AZ
15000,7 years,RENT,60000,NJ
27050,5 years,MORTGAGE,65000,UT
22500,3 years,MORTGAGE,67735,SC
20500,< 1 year,RENT,47800,CA
12800,1 year,MORTGAGE,99600,CA
27575,1 year,MORTGAGE,54000,WY
7000,8 years,RENT,49000,NY
7600,1 year,RENT,33996,TX
29000,10+ years,RENT,65000,PA
10000,4 years,RENT,44160,VA
14125,5 years,RENT,32000,TX
12000,< 1 year,MORTGAGE,94500,CA
9575,3 years,RENT,19498,VA
12000,1 year,RENT,30000,FL
12000,9 years,MORTGAGE,88000,NY
10000,4 years,RENT,45000,NJ
10000,1 year,RENT,37500,MA
25000,5 years,MORTGAGE,89000,FL
24000,4 years,RENT,120000,GA
14575,7 years,RENT,35000,NJ
9000,< 1 year,MORTGAGE,50000,MO
10000,10+ years,RENT,30000,NY
7125,7 years,RENT,25279.67,MN
15000,10+ years,RENT,29000,PA
13000,6 years,RENT,65000,CA
12000,7 years,RENT,30000,RI
18000,2 years,RENT,68000,NV
30000,10+ years,RENT,90000,TX
21600,2 years,MORTGAGE,58600,TX
7600,5 years,OWN,50000,SD
7000,10+ years,RENT,85000,CA
7000,5 years,RENT,45000,WI
3600,7 years,MORTGAGE,44004,NJ
3500,10+ years,MORTGAGE,84996,NC
5000,6 years,RENT,33000,NJ
10000,5 years,MORTGAGE,60000,CT
4500,< 1 year,OWN,19200,MN
12000,10+ years,RENT,62000,NJ
12000,1 year,RENT,38500,OH
10700,4 years,RENT,68000,AZ
6000,1 year,RENT,30000,FL
20000,10+ years,RENT,50000,NY
10800,2 years,RENT,23000,TX
25000,10+ years,RENT,50400,GA
20000,5 years,RENT,110000,CA
3600,1 year,RENT,40000,LA
6000,10+ years,RENT,83954,NJ
10375,5 years,RENT,35000,KY
25000,4 years,RENT,60000,CA
10000,4 years,RENT,40000,NC
10000,2 years,RENT,42336,CO
5600,n/a,OWN,41100,NY
6000,4 years,RENT,92000,IL
8000,2 years,RENT,75000,AZ
35000,10+ years,RENT,90000,CA
10000,4 years,MORTGAGE,45000,GA
11000,8 years,RENT,48000,FL
5000,6 years,MORTGAGE,110000,OR
6500,< 1 year,RENT,30600,TX
20000,4 years,RENT,69000,CO
12000,4 years,RENT,45000,CA
8250,3 years,RENT,27500,OR
21000,10+ years,MORTGAGE,150500,NY
8400,2 years,RENT,32000,NY
7000,5 years,RENT,37500,MA
12000,< 1 year,RENT,60000,RI
7200,2 years,RENT,33000,FL
12000,10+ years,RENT,70000,GA
12800,9 years,RENT,75000,FL
3050,1 year,RENT,16800,TX
9000,1 year,RENT,38000,IL
10000,5 years,OWN,35000,NV
10000,< 1 year,MORTGAGE,95000,PA
10000,10+ years,MORTGAGE,77400,SD
8500,< 1 year,RENT,61000,IL
35000,8 years,RENT,70000,NY
7200,10+ years,RENT,67000,MD
21000,< 1 year,MORTGAGE,90000,FL
27000,5 years,OWN,140000,MA
28625,6 years,OWN,55000,NY
4000,9 years,RENT,32400,WA
7300,4 years,RENT,50000,NY
18000,9 years,MORTGAGE,70000,MI
5000,10+ years,OWN,35000,KY
6500,n/a,MORTGAGE,46212,NC
14100,4 years,RENT,43000,TX
35000,10+ years,MORTGAGE,140000,OR
10000,10+ years,MORTGAGE,115000,VA
3000,4 years,RENT,45000,AK
25000,7 years,RENT,95000,CA
28000,5 years,MORTGAGE,235000,VA
10000,5 years,RENT,36000,NY
12000,5 years,RENT,26000,CO
10000,3 years,RENT,80000,NY
11000,1 year,RENT,50000,MA
10000,10+ years,RENT,55000,NY
5000,5 years,MORTGAGE,55000,MA
5000,3 years,RENT,64424,NY
5000,10+ years,RENT,56000,NY
6000,7 years,RENT,30000,CA
5000,4 years,MORTGAGE,111740,GA
20050,7 years,RENT,67500,RI
7000,< 1 year,RENT,41000,NY
25000,10+ years,RENT,120000,MA
3000,10+ years,RENT,30000,CA
8400,10+ years,RENT,41500,CT
24925,4 years,RENT,60000,FL
5000,10+ years,MORTGAGE,75000,OH
12000,2 years,RENT,80000,FL
12000,10+ years,RENT,42000,WI
13200,2 years,MORTGAGE,41600,CA
6000,1 year,RENT,48000,NJ
10000,8 years,MORTGAGE,50000,PA
17500,4 years,RENT,70000,NY
